berry,main_tree_type,forest_development_class,x,y,year,week_number,Latitude,Longitude,Coordinates
bilberry,pine,old,410000,7040000,2018,27,63.47694058879721,25.19347674995947,"63.476940588797206,25.193476749959466"
bilberry,spruce,old,350000,7070000,2018,29,63.72556016882466,23.96216413339075,"63.725560168824664,23.96216413339075"
bilberry,spruce,plantation,420000,7300000,2018,29,65.81137369720916,25.25009717192367,"65.81137369720916,25.25009717192367"
bilberry,spruce,old,440000,7370000,2018,29,66.44358019442852,25.65452968275375,"66.44358019442852,25.654529682753747"
bilberry,pine,plantation,350000,7060000,2018,29,63.63594169773115,23.97175124306635,"63.63594169773115,23.971751243066347"
bilberry,pine,old,320000,7030000,2018,29,63.35322445838526,23.4014322658941,"63.353224458385256,23.4014322658941"
bilberry,spruce,old,480000,7030000,2018,29,63.39802750353635,26.59969124978069,"63.398027503536355,26.599691249780687"
bilberry,pine,plantation,240000,6720000,2018,29,60.53170202340684,22.25961796802678,"60.53170202340684,22.25961796802678"
bilberry,larch,old,280000,6660000,2018,30,60.01813513825719,23.05204571070333,"60.018135138257186,23.052045710703325"
bilberry,pine,old,610000,7120000,2018,30,64.18870798491892,29.26457758809651,"64.18870798491892,29.26457758809651"
bilberry,spruce,old,390000,6720000,2018,29,60.60076177751631,24.99114302977634,"60.60076177751631,24.991143029776342"
bilberry,pine,seedling,380000,6700000,2018,30,60.41845458957714,24.82075660404575,"60.418454589577145,24.820756604045748"
bilberry,pine,old,390000,6690000,2018,30,60.33156721019825,25.00771310674739,"60.33156721019825,25.007713106747392"
bilberry,pine,old,430000,6910000,2018,27,62.31497453942191,25.64950988837686,"62.31497453942191,25.64950988837686"
bilberry,mixed,plantation,450000,7310000,2018,27,65.90716758669795,25.90229628514725,"65.90716758669795,25.902296285147248"
bilberry,pine,plantation,540000,6770000,2018,28,61.06272178178999,27.74103773545875,"61.06272178178999,27.74103773545875"
bilberry,spruce,old,440000,7380000,2018,30,66.53326567314751,25.64968430336839,"66.53326567314751,25.649684303368385"
bilberry,pine,old,460000,6730000,2018,30,60.70362894165493,26.26724143570159,"60.70362894165493,26.267241435701592"
bilberry,pine,plantation,390000,6740000,2018,30,60.78021722649141,24.97991749084244,"60.78021722649141,24.979917490842436"
bilberry,pine,plantation,390000,6740000,2018,30,60.78021722649141,24.97991749084244,"60.78021722649141,24.979917490842436"
bilberry,pine,old,270000,6710000,2018,29,60.46042571829598,22.81633281722572,"60.46042571829598,22.81633281722572"
bilberry,pine,old,480000,6730000,2018,31,60.70513102454233,26.6336075266417,"60.70513102454233,26.6336075266417"
bilberry,pine,plantation,510000,6710000,2018,31,60.52593898829026,27.18218274638577,"60.525938988290264,27.18218274638577"
bilberry,spruce,old,220000,6740000,2018,30,60.69714238989678,21.86821754112946,"60.69714238989678,21.868217541129457"
bilberry,pine,plantation,470000,6920000,2018,31,62.41008405966615,26.4194082977983,"62.41008405966615,26.4194082977983"
bilberry,spruce,old,610000,7360000,2018,30,66.3402789226747,29.45690864790391,"66.3402789226747,29.456908647903912"
bilberry,pine,plantation,570000,7410000,2018,31,66.80018695321921,28.59249727980589,"66.80018695321921,28.59249727980589"
bilberry,pine,plantation,430000,7400000,2018,30,66.71051424952127,25.41329028245461,"66.71051424952127,25.413290282454607"
bilberry,spruce,old,460000,7370000,2018,31,66.44679869399447,26.10293548839357,"66.44679869399447,26.102935488393566"
bilberry,pine,plantation,500000,7350000,2018,31,66.26995028756569,27.0,"66.26995028756569,27.0"
bilberry,spruce,plantation,500000,7360000,2018,31,66.35966260771839,27.0,"66.35966260771839,27.0"
bilberry,spruce,plantation,500000,7350000,2018,31,66.26995028756569,27.0,"66.26995028756569,27.0"
bilberry,pine,plantation,430000,7400000,2018,31,66.71051424952127,25.41329028245461,"66.71051424952127,25.413290282454607"
bilberry,pine,plantation,430000,7400000,2018,31,66.71051424952127,25.41329028245461,"66.71051424952127,25.413290282454607"
bilberry,pine,plantation,410000,7450000,2018,31,67.15353663044701,24.92246939649949,"67.15353663044701,24.92246939649949"
bilberry,pine,plantation,410000,7450000,2018,31,67.15353663044701,24.92246939649949,"67.15353663044701,24.92246939649949"
bilberry,pine,plantation,440000,6820000,2018,31,61.50897217408515,25.87252834021952,"61.50897217408515,25.87252834021952"
bilberry,pine,plantation,340000,6800000,2018,30,61.30122674546548,24.01268664399914,"61.301226745465485,24.012686643999135"
bilberry,spruce,old,420000,6760000,2018,28,60.96687678811368,25.52232140560452,"60.96687678811368,25.52232140560452"
bilberry,pine,plantation,290000,6930000,2018,28,62.44165992217434,22.92965386387463,"62.44165992217434,22.92965386387463"
bilberry,pine,plantation,300000,6800000,2018,30,61.28276754659225,23.2675405478368,"61.282767546592254,23.2675405478368"
bilberry,pine,plantation,290000,6800000,2018,30,61.27751478985533,23.08141994993001,"61.27751478985533,23.08141994993001"
bilberry,pine,clearing,580000,7260000,2018,31,65.4526573933773,28.72590104157074,"65.4526573933773,28.725901041570737"
bilberry,mixed,plantation,570000,7240000,2018,32,65.27557679478303,28.49999468772389,"65.27557679478303,28.499994687723895"
bilberry,mixed,plantation,580000,7240000,2018,32,65.27329114105522,28.71417024859754,"65.27329114105522,28.714170248597544"
bilberry,pine,plantation,290000,6780000,2018,30,61.0983792157712,23.10363083806073,"61.0983792157712,23.10363083806073"
bilberry,pine,old,550000,7120000,2018,30,64.20264217551603,28.02973864281088,"64.20264217551603,28.029738642810884"
bilberry,spruce,plantation,560000,6870000,2018,28,61.95773054155541,28.14399257063872,"61.95773054155541,28.143992570638723"
bilberry,pine,old,640000,7080000,2018,32,63.81931583038386,29.84463725202124,"63.819315830383864,29.84463725202124"
bilberry,mixed,old,370000,6660000,2018,32,60.05650591585463,24.66501210172929,"60.05650591585463,24.665012101729292"
bilberry,pine,plantation,570000,7720000,2018,32,69.57940544236097,28.79788518449983,"69.57940544236097,28.79788518449983"
bilberry,spruce,plantation,440000,7060000,2018,29,63.66272145965444,25.78784554414271,"63.66272145965444,25.787845544142705"
bilberry,spruce,old,410000,7570000,2018,33,68.22915618656471,24.82523678361501,"68.22915618656471,24.82523678361501"
bilberry,pine,plantation,530000,6790000,2018,28,61.24315646359449,27.55895638510091,"61.24315646359449,27.55895638510091"
bilberry,pine,old,290000,6780000,2018,28,61.0983792157712,23.10363083806073,"61.0983792157712,23.10363083806073"
bilberry,pine,plantation,560000,7270000,2018,32,65.54665834435944,28.29903317642823,"65.54665834435944,28.29903317642823"
bilberry,pine,plantation,550000,6980000,2018,28,62.94639830650993,27.98533934555251,"62.946398306509934,27.985339345552514"
bilberry,spruce,plantation,510000,6840000,2018,31,61.6930418888169,27.1890236548104,"61.6930418888169,27.189023654810402"
bilberry,pine,old,430000,7030000,2018,31,63.39172108625436,25.59915009534945,"63.391721086254364,25.59915009534945"
bilberry,pine,plantation,530000,6770000,2018,29,61.06361093433671,27.55579027525239,"61.06361093433671,27.555790275252388"
bilberry,pine,seedling,540000,7340000,2018,34,66.17769428244003,27.88752145392611,"66.17769428244003,27.88752145392611"
bilberry,pine,plantation,540000,7340000,2018,33,66.17769428244003,27.88752145392611,"66.17769428244003,27.88752145392611"
bilberry,softbirch,plantation,570000,7720000,2018,31,69.57940544236097,28.79788518449983,"69.57940544236097,28.79788518449983"
bilberry,mixed,old,650000,6930000,2018,34,62.47072901344501,29.90953128425131,"62.47072901344501,29.90953128425131"
bilberry,pine,old,460000,7340000,2018,31,66.17769428244003,26.11247854607389,"66.17769428244003,26.11247854607389"
bilberry,pine,plantation,220000,6760000,2018,33,60.87598223003869,21.83946067413957,"60.87598223003869,21.839460674139573"
bilberry,pine,plantation,550000,6750000,2018,30,60.88204308926154,27.9210639179582,"60.88204308926154,27.921063917958204"
bilberry,pine,plantation,370000,7450000,2018,33,67.13889152714616,24.00044236130488,"67.13889152714616,24.00044236130488"
bilberry,pine,old,490000,7150000,2018,32,64.47533347586672,26.79201116459836,"64.47533347586672,26.79201116459836"
bilberry,pine,old,550000,6730000,2018,30,60.70250244940365,27.91592347476194,"60.702502449403646,27.915923474761936"
bilberry,pine,old,430000,6820000,2018,32,61.50729036265463,25.68467073633329,"61.50729036265463,25.684670736333292"
bilberry,pine,seedling,560000,7340000,2018,30,66.17451645731465,28.33115995234911,"66.17451645731465,28.331159952349108"
bilberry,pine,old,570000,7320000,2018,33,65.99308654415161,28.54201365048702,"65.99308654415161,28.542013650487018"
bilberry,pine,plantation,490000,7130000,2018,31,64.29586376491736,26.79336393895392,"64.29586376491736,26.793363938953917"
bilberry,pine,plantation,570000,7410000,2018,31,66.80018695321921,28.59249727980589,"66.80018695321921,28.59249727980589"
bilberry,pine,plantation,350000,7060000,2018,29,63.63594169773115,23.97175124306635,"63.63594169773115,23.971751243066347"
lingonberry,spruce,old,480000,7030000,2018,31,63.39802750353635,26.59969124978069,"63.398027503536355,26.599691249780687"
lingonberry,pine,plantation,570000,7410000,2018,31,66.80018695321921,28.59249727980589,"66.80018695321921,28.59249727980589"
lingonberry,pine,old,410000,7040000,2018,32,63.47694058879721,25.19347674995947,"63.476940588797206,25.193476749959466"
lingonberry,spruce,plantation,440000,7060000,2018,32,63.66272145965444,25.78784554414271,"63.66272145965444,25.787845544142705"
lingonberry,spruce,seedling,550000,6990000,2018,33,63.03613795252924,27.98836782640586,"63.03613795252924,27.98836782640586"
lingonberry,pine,old,460000,6730000,2018,34,60.70362894165493,26.26724143570159,"60.70362894165493,26.267241435701592"
lingonberry,pine,old,320000,7030000,2018,34,63.35322445838526,23.4014322658941,"63.353224458385256,23.4014322658941"
lingonberry,pine,old,280000,6660000,2018,35,60.01813513825719,23.05204571070333,"60.018135138257186,23.052045710703325"
lingonberry,pine,clearing,440000,7370000,2018,35,66.44358019442852,25.65452968275375,"66.44358019442852,25.654529682753747"
lingonberry,pine,old,430000,6910000,2018,35,62.31497453942191,25.64950988837686,"62.31497453942191,25.64950988837686"
lingonberry,pine,plantation,560000,6870000,2018,35,61.95773054155541,28.14399257063872,"61.95773054155541,28.143992570638723"
lingonberry,pine,plantation,570000,6870000,2018,35,61.95601700275535,28.33460102747813,"61.95601700275535,28.33460102747813"
lingonberry,pine,plantation,290000,6930000,2018,35,62.44165992217434,22.92965386387463,"62.44165992217434,22.92965386387463"
lingonberry,pine,seedling,500000,7360000,2018,35,66.35966260771839,27.0,"66.35966260771839,27.0"
lingonberry,pine,seedling,500000,7360000,2018,35,66.35966260771839,27.0,"66.35966260771839,27.0"
lingonberry,pine,old,270000,6710000,2018,36,60.46042571829598,22.81633281722572,"60.46042571829598,22.81633281722572"
lingonberry,pine,old,640000,7080000,2018,35,63.81931583038386,29.84463725202124,"63.819315830383864,29.84463725202124"
lingonberry,pine,old,600000,7360000,2018,36,66.34364161836845,29.233771785672,"66.34364161836845,29.233771785672005"
lingonberry,pine,seedling,560000,7250000,2018,35,65.36725928464682,28.29016499869769,"65.36725928464682,28.29016499869769"
lingonberry,pine,plantation,350000,7060000,2018,36,63.63594169773115,23.97175124306635,"63.63594169773115,23.971751243066347"
